Country,Geographic Cordinates,Latitude,longitude,Population,Number of Major Religions,GDP exchange rate,Infant mortality rate (deaths/1000 live births),Maternal mortality rate (deaths/10000 live births),Number of Languages,Languages
Afghanistan,"33 00 N, 65 00 E",33,65,34940837,2,20240000000,108.5,638,10,"Dari, Pashto, Uzbek, English, Turkmen, Urdu, Pashayi, Nuristani, Arabic, Balochi"
Albania,"41 00 N, 20 00 E",41,20,3057220,5,13070000000,11.6,15,8,"Albanian, Greek, Macedonian, Romani, Vlach, Turkish, Italian, Serbo-Croatian"
Algeria,"28 00 N, 3 00 E",28,3,41657488,3,1.68E+11,18.9,112,7,"Arabic, French, Berber or Tamazight; Taqbaylit, Tacawit, Mzab Berber, Tamahaq"
American Samoa,"14 20 S, 170 00 W",-14.2,-170,50826,3,658000000,10.8,,4,"Samoan, English, Tongan, Pacific islander"
Andorra,"42 30 N, 1 30 E",42.3,1.3,85708,1,2712000000,3.6,,4,"Catalan, French, Castilian, Portuguese"
Angola,"12 30 S, 18 30 E",-12.3,18.3,30355880,3,1.27E+11,65.8,241,11,"Portuguese, Umbundu, Kikongo, Kimbundu, Chokwe, Nhaneca, Nganguela, Fiote, Kwanhama, Muhumbi, Luvale"
Anguilla,"18 15 N, 63 10 W",18.15,-63.1,17422,13,175400000,3.3,,1,English  
Antigua and Barbuda,"17 03 N, 61 48 W",17.03,-61.48,95882,11,1524000000,11.7,,2,"English  , Antiguan creole"
Argentina,"34 00 S, 64 00 W",-34,-64,44694198,4,6.38E+11,9.5,39,25,"Spanish, English, Portuguese, Italian, Arabic, Quechua, German, Guarani, Catalan, Mapudungun, Chinese, Wichi, Vlax Romani, Japanese, Ukrainian, Aymara, Welsh, Mocovi, Mbya Guarani, Pilaga, Iyo'wujwa, Kaiwa, Nivacle, Plautdietsch, Wichi Lhamtes Nocten"
Armenia,"40 00 N, 45 00 E",40,45,3038217,4,11540000000,12.3,26,2,"Armenian   , Kurdish"
Aruba,"12 30 N, 69 58 W",12.3,-69.58,116576,8,2700000000,10.4,,7,"Papiamento, French, Arawak , Spanish , English, Dutch, Chinese"
Australia,"27 00 S, 133 00 E",-27,133,23470145,16,1.38E+12,4.2,6,8,"English , Mandarin , Arabic , Cantonese , Vietnamese , Italian , Greek , "
Austria,"47 20 N, 13 20 E",47.2,13.2,8793370,7,4.17E+11,3.4,5,7,"German  , Turkish , Serbian , Croatian, Slovene, southern Carinthia, Hungarian"
Azerbaijan,"40 30 N, 47 30 E",40.3,47.3,10046516,4,40670000000,23,26,3,"Azerbaijani, Russian , Armenian "
"Bahamas, The","24 15 N, 76 00 W",24.15,-76,332634,12,12160000000,11.1,70,2,"English  , Creole"
Bahrain,"26 00 N, 50 33 E",26,50.33,1442659,4,35330000000,8.8,14,4,"Arabic  , English, Farsi, Urdu"
Bangladesh,"24 00 N, 90 00 E",24,90,159453001,4,2.62E+11,30.5,173,11,"Bangla, Bishnupriya Manipuri, Chakma, Chittagonian, English, Hajong, Marma, Rohingya, Sylheti, Tangchangya, Urdu "
Barbados,"13 10 N, 59 32 W",13.1,-59.32,293131,16,4990000000,10,27,2,"English  , Bajan "
Belarus,"53 00 N, 28 00 E",53,28,9527543,3,54440000000,3.6,2,4,"Russian , Belarusian , Polish, Ukrainian "
Belgium,"50 50 N, 4 00 E",50.5,4,11570762,7,4.94E+11,3.4,5,3,"Dutch   , French   , German"
Belize,"17 15 N, 88 45 W",17.15,-88.45,385854,17,1854000000,12,36,6,"English   , Spanish , Creole , Maya   , German , Garifuna ,"
Benin,"9 30 N, 2 15 E",9.3,2.15,11340504,10,9246000000,51.5,397,10,"French, English, Fon, Yoruba, Aguna, Anii, Gwamhi-Wuri, Miyobe, Notre, Tchumbuli"
Bermuda,"32 20 N, 64 45 W",32.2,-64.45,71176,17,6127000000,2.5,,2,"English  , Portuguese"
Bhutan,"27 30 N, 90 30 E",27.3,90.3,766397,3,2405000000,30.3,183,4,"Sharchhopka , Dzongkha   , Lhotshamkha , English,"
Bolivia,"17 00 S, 65 00 W",-17,-65,11306341,4,37780000000,34.2,155,33,"Aymara, Araona, Baure, BÇsiro, Cavine§o, Ch†cobo, Chim†n, Chipaya, Ese Ejja, Guaran°, Guarayu, Itonama, Leco, Machajuyai-Kallawaya, Machineri, Maropa, Moje§o-Ignaciano, Moje§o-Trinitario, MorÇ, MosetÇn, Movima, Pacawara, Quechua, Sirion¢, Spanish, Tacana, TapietÇ, Toromona, Weenhayek, Yaminawa, Yuki, YuracarÇ, Zamuco"
Bosnia and Herzegovina,"44 00 N, 18 00 E",44,18,3849891,6,18170000000,5.4,10,3,"Bosnian, Serbian, Croatian"
Botswana,"22 00 S, 24 00 E",-22,24,2249104,8,17380000000,28.6,144,31,"Afrikaans, Ani, Birwa, Chichewa, English, Gana, Gciriku, Gwi, Hai||om, Herero, ?Hua, Ju|?hoansi, Kalanga, Kgalagadi, Khoekhoe, Khwedam, Kua, Kuhane, Kung-Ekoka, Lozi, Mbukushu, Nambya, Naro, Ndebele, Setswana, Shua, Tshuwau, Tswapong, !X¢?, Yeyi, Zezuru"
Brazil,"10 00 S, 55 00 W",-10,-55,208846892,11,2.06E+12,16.9,60,56,"Portuguese, Spanish, German, italian, Japanese, English, Arawa, Arikem, Aruak, Bororo, Chiquito, Guaikuru, Guato, Iranxe, Je, Juruna, Karaja, Karib, Katukina, Krenak, Maku, Mawe, Maxakali, Monde, Munduruku, Mura, Nambikwara, Ofaye, Purobora, Ramarama, Rikbaktsa, Tikuna, Tukana, Tupari, Tupi-Guarani, Txapakura, Yanomami, Yate, Aikana e Koaza, Aikane e Nambikwara, Aruak e Je, Aruak e Pano, Aruak e Tupi-Guarani, Je e Krenak, Je e Tupi- Guarani, Kanoe e Tupari, Katukina e Pano, Aruak, Crioulo Frances e Karib, Tukano e Tupi-Guarani, Monde e Tuari, Aweti, SaterÇ-MawÇ, Purubor†, Yathà, Macro-Jà"
British Virgin Islands,"18 30 N, 64 30 W",18.3,-64.3,35802,13,1028000000,11.7,,1,English  
Brunei,"4 30 N, 114 40 E",4.3,114.4,450565,4,12130000000,9.3,31,3,"Malay, English, Chinese dialects"
Bulgaria,"43 00 N, 25 00 E",43,25,7057504,7,56940000000,8.3,10,3,"Bulgarian   , Turkish , Romani "
Burkina Faso,"13 00 N, 2 00 W",13,-2,19742715,4,12570000000,54.7,320,23,"French, Bobo, Marka,Senoufo, Lobi, Dagara, Gourounsi,Bissa, Gourmantche, Mossi, Peul, Bwamu,Samo, Jalkunan, Kalamse, Khe, Khisa, Natioro, Pana, Pongu, Sininkere, Tiefo, Wara"
Burundi,"3 30 S, 30 00 E",-3.3,30,11844520,5,3396000000,57.4,250,4,"Kirundi, French, Swahili, English"
Cabo Verde,"16 00 N, 24 00 W",16,-24,568373,12,1776000000,21.1,548,2,"Portuguese, Krioulo"
Cambodia,"13 00 N, 105 00 E",13,105,16449519,4,22090000000,46.1,58,10,"Khmer, English, French, Cham, Vietnamese, Tumpoon, Lao, Jarai, Yue Chinese, Teochew Chinese"
Cameroon,"6 00 N, 12 00 E",6,12,25640965,6,34990000000,49.8,160,120,"English  , French, Abo, Afade, Aghem, Akoose, Akum, Ambele, Arabic,  Chadian, Atong, Awing, Babanki, Bafanji, Bafaw-balong, Bafia, Bafut, Baka, Bakoko, Bakole, Bakundu-balue, Bakweri, Baldamu, Balo, Balundu-bima, Bamali, Bambalang, Bambili, Bamenyam, BamilÇkÇ, Bamukumbit, Bamoun, Bamumbu, Bamunka, Bana, Bangandu, Bangolan, Bangwa, Bansop, Barombi, Bassa, Bassossi, Bata, Batanga, Bati, Bebe, Bebele, Bebil, Beezen, Befang, Bekwel, Beti, Bikya, Bishuo, Bitare, Bokyi, Bomwali, Bu, Bubia, Buduma, Bulu, Bumbung, Busam, Busuu, Buwal, Byep, Caka, Cung, Cuvok, Daba, Dama, Dek, Denya, Dii, Dimbong, Doyayo, Duala, Dugwor, Duli, Duupa, Dzodinka, Efik, Ejagham, Elip, Eman, Esimbi, Eton, Evand, Ewondo, Fali, Fang, Fe'fe', Fulfulde, Fungom, Gaduwa, Gavar, Gbaya, Ghomala, Guiziga, Hausa, Kenyang[17], Kotoko, Kwasio / Ngumba, Limbum, Mambila, Massa, Mousgoum, Mousseye, Medumba, Meta'a, Moghamo, Mundang, Nda'nda', Nso', Nweh, Tikar, Toupouri, WutÇ, Yabassi, Yamba "
Canada,"60 00 N, 95 00 W",60,-95,35881659,17,1.65E+12,4.5,529,35,"English   , French   , Punjabi , Italian , Spanish , German , Cantonese , Tagalog , Arabic , Cree, Inuktitut, Ojibwe, Montagnais-Naskapi (Innu), Dene Suline, Oji-Cree (Anishinini), Mi'kmaq, Siouan languages (Dakota/Sioux), Atikamekw, Blackfoot, T??ch? or Dogrib, Algonquin, Carrier, Gitksan, Chilcotin, North Slave (Hare), South Slave, Malecite, Chipewyan, Inuinnaqtun, Kutchin-Gwich?in (Loucheaux), Mohawk, Shuswap, Nisga'a, Tlingit, Atgangmuurngniq"
Cayman Islands,"19 30 N, 80 30 W",19.3,-80.3,59613,13,2250000000,5.7,10,3,"English   , Spanish , Filipino"
