id,country
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antigua and Barbuda
9,Argentina
10,Armenia
11,Aruba
12,Australia
13,Austria
14,Azerbaijan
15,"Bahamas, The"
16,Bahrain
17,Bangladesh
18,Barbados
19,Belarus
20,Belgium
21,Belize
22,Benin
23,Bermuda
24,Bhutan
25,Bolivia
26,Bosnia and Herzegovina
27,Botswana
28,Brazil
29,British Virgin Islands
30,Brunei
31,Bulgaria
32,Burkina Faso
33,Burundi
34,Cabo Verde
35,Cambodia
36,Cameroon
37,Canada
38,Cayman Islands
39,Central African Republic
40,Chad
41,Chile
42,China
43,Christmas Island
44,Cocos (Keeling) Islands
45,Colombia
46,Comoros
47,Cook Islands
48,Costa Rica
49,Cote d'Ivoire
50,Croatia
51,Cuba
52,Curacao
53,Cyprus
54,Czechia
55,Democratic Republic of the Congo
56,Denmark
57,Djibouti
58,Dominica
59,Dominican Republic
60,Ecuador
61,Egypt
62,El Salvador
63,Equatorial Guinea
64,Eritrea
65,Estonia
66,Eswatini
67,Ethiopia
68,Falkland Islands (Islas Malvinas)
69,Faroe Islands
70,Fiji
71,Finland
72,France
73,French Polynesia
74,Gabon
75,Gaza Strip
76,Georgia
77,Germany
78,Ghana
79,Gibraltar
80,Greece
81,Greenland
82,Grenada
83,Guam
84,Guatemala
85,Guernsey
86,Guinea
87,Guinea-Bissau
88,Guyana
89,Haiti
90,Holy See (Vatican City)
91,Honduras
92,Hong Kong
93,Hungary
94,Iceland
95,India
96,Indonesia
97,Iran
98,Iraq
99,Ireland
100,Isle of Man
101,Israel
102,Italy
103,Jamaica
104,Japan
105,Jersey
106,Jordan
107,Kazakhstan
108,Kenya
109,Kiribati
110,North Korea
111,South Korea
112,Kosovo
113,Kuwait
114,Kyrgyzstan
115,Laos
116,Latvia
117,Lebanon
118,Lesotho
119,Liberia
120,Libya
121,Liechtenstein
122,Lithuania
123,Luxembourg
124,Macau
125,Madagascar
126,Malawi
127,Malaysia
128,Maldives
129,Mali
130,Malta
131,Marshall Islands
132,Mauritania
133,Mauritius
134,Mayanmar
135,Mexico
136,"Micronesia, Federated States of"
137,Moldova
138,Monaco
139,Mongolia
140,Montenegro
141,Montserrat
142,Morocco
143,Mozambique
144,Namibia
145,Nauru
146,Nepal
147,Netherlands
148,New Caledonia
149,New Zealand
150,Nicaragua
151,Niger
152,Nigeria
153,Niue
154,Norfolk Island
155,North Macedonia
156,Northern Mariana Islands
157,Norway
158,Oman
159,Pakistan
160,Palau
161,Panama
162,Papua New Guinea
163,Paraguay
164,Peru
165,Philippines
166,Pitcairn Islands
167,Poland
168,Portugal
169,Puerto Rico
170,Qatar
171,Republic of the Congo
172,Romania
173,Russia
174,Rwanda
175,Saint Barthelemy
176,"Saint Helena, Ascension, and Tristan da Cunha"
177,Saint Kitts and Nevis
178,Saint Lucia
179,Saint Martin
180,Saint Pierre and Miquelon
181,Saint Vincent and the Grenadines
182,Samoa
183,San Marino
184,Sao Tome and Principe
185,Saudi Arabia
186,Senegal
187,Serbia
188,Seychelles
189,Sierra Leone
190,Singapore
191,Sint Maarten
192,Slovakia
193,Slovenia
194,Solomon Islands
195,Somalia
196,South Africa
197,South Sudan
198,Spain
199,Sri Lanka
200,Sudan
201,Suriname
202,Sweden
203,Switzerland
204,Syria
205,Taiwan
206,Tajikistan
207,Tanzania
208,Thailand
209,The Gambia
210,Timor-Leste
211,Togo
212,Tokelau
213,Tonga
214,Trinidad and Tobago
215,Tunisia
216,Turkey
217,Turkmenistan
218,Turks and Caicos Islands
219,Tuvalu
220,Uganda
221,Ukraine
222,United Arab Emirates
223,United Kingdom
224,United States
225,Uruguay
226,Uzbekistan
227,Vanuatu
228,Venezuela
229,Vietnam
230,Virgin Islands
231,Wallis and Futuna
232,West Bank
233,Western Sahara
234,Yemen
235,Zambia
236,Zimbabwe
